N_MFCC,duration,step,augment,batch_size,accuracy,precision,recall,f1
20,3.0,1.0,"{'noise': (0.001, 0.01), 'pitch': (-1, 1), 'stretch': (0.95, 1.05)}",8,0.6968838526912181,0.6435643564356436,0.7878787878787878,0.7084468664850136
20,3.0,1.0,"{'noise': (0.001, 0.01), 'pitch': (-1, 1), 'stretch': (0.95, 1.05)}",16,0.7535410764872521,0.6875,0.8666666666666667,0.7667560321715817
20,3.0,1.0,"{'noise': (0.001, 0.01), 'pitch': (-1, 1), 'stretch': (0.95, 1.05)}",32,0.5297450424929179,0.4984520123839009,0.9757575757575757,0.6598360655737705
20,3.0,1.0,"{'noise': (0.001, 0.015), 'pitch': (-2, 2), 'stretch': (0.9, 1.1)}",8,0.7053824362606232,0.6343612334801763,0.8727272727272727,0.7346938775510204
20,3.0,1.0,"{'noise': (0.001, 0.015), 'pitch': (-2, 2), 'stretch': (0.9, 1.1)}",16,0.7280453257790368,0.6493506493506493,0.9090909090909091,0.7575757575757576
20,3.0,1.0,"{'noise': (0.001, 0.015), 'pitch': (-2, 2), 'stretch': (0.9, 1.1)}",32,0.5325779036827195,0.0,0.0,0.0
20,3.0,1.0,"{'noise': (0.005, 0.02), 'pitch': (-3, 3), 'stretch': (0.85, 1.15)}",8,0.7025495750708215,0.6376146788990825,0.8424242424242424,0.7258485639686684
20,3.0,1.0,"{'noise': (0.005, 0.02), 'pitch': (-3, 3), 'stretch': (0.85, 1.15)}",16,0.7847025495750708,0.6977777777777778,0.9515151515151515,0.8051282051282052
20,3.0,1.0,"{'noise': (0.005, 0.02), 'pitch': (-3, 3), 'stretch': (0.85, 1.15)}",32,0.7365439093484419,0.6782178217821783,0.8303030303030303,0.7465940054495913
20,3.0,1.0,None,8,0.7592067988668555,0.6851851851851852,0.896969696969697,0.7769028871391076
20,3.0,1.0,None,16,0.7450424929178471,0.6582278481012658,0.9454545454545454,0.7761194029850746
20,3.0,1.0,None,32,0.8611898016997167,0.7989690721649485,0.9393939393939394,0.8635097493036211
20,3.0,1.5,"{'noise': (0.001, 0.01), 'pitch': (-1, 1), 'stretch': (0.95, 1.05)}",8,0.731404958677686,0.6643835616438356,0.8584070796460177,0.749034749034749
20,3.0,1.5,"{'noise': (0.001, 0.01), 'pitch': (-1, 1), 'stretch': (0.95, 1.05)}",16,0.7975206611570248,0.7622950819672131,0.8230088495575221,0.7914893617021277
20,3.0,1.5,"{'noise': (0.001, 0.01), 'pitch': (-1, 1), 'stretch': (0.95, 1.05)}",32,0.6033057851239669,0.5977011494252874,0.46017699115044247,0.52
20,3.0,1.5,"{'noise': (0.001, 0.015), 'pitch': (-2, 2), 'stretch': (0.9, 1.1)}",8,0.7396694214876033,0.6838235294117647,0.8230088495575221,0.7469879518072289
20,3.0,1.5,"{'noise': (0.001, 0.015), 'pitch': (-2, 2), 'stretch': (0.9, 1.1)}",16,0.49173553719008267,0.4788135593220339,1.0,0.6475644699140402
20,3.0,1.5,"{'noise': (0.001, 0.015), 'pitch': (-2, 2), 'stretch': (0.9, 1.1)}",32,0.5330578512396694,0.0,0.0,0.0
20,3.0,1.5,"{'noise': (0.005, 0.02), 'pitch': (-3, 3), 'stretch': (0.85, 1.15)}",8,0.756198347107438,0.684931506849315,0.8849557522123894,0.7722007722007722
20,3.0,1.5,"{'noise': (0.005, 0.02), 'pitch': (-3, 3), 'stretch': (0.85, 1.15)}",16,0.8305785123966942,0.7903225806451613,0.8672566371681416,0.8270042194092827
20,3.0,1.5,"{'noise': (0.005, 0.02), 'pitch': (-3, 3), 'stretch': (0.85, 1.15)}",32,0.5165289256198347,0.47435897435897434,0.3274336283185841,0.387434554973822
20,3.0,1.5,None,8,0.859504132231405,0.8015267175572519,0.9292035398230089,0.860655737704918
20,3.0,1.5,None,16,0.8347107438016529,0.7552447552447552,0.9557522123893806,0.84375
20,3.0,1.5,None,32,0.5206611570247934,0.36363636363636365,0.035398230088495575,0.06451612903225806
