duration=2.0, step=2.0,  MELS=64, FFT=2048, HOP=512, aug={'noise': (0.001, 0.015), 'pitch': (-2, 2), 'stretch': (0.9, 1.1)}, batch=16 --> acc=0.522, prec=0.507, rec=0.956, f1=0.663
duration=2.0, step=2.0,  MELS=64, FFT=2048, HOP=512, aug={'noise': (0.001, 0.015), 'pitch': (-2, 2), 'stretch': (0.9, 1.1)}, batch=32 --> acc=0.509, prec=0.500, rec=0.973, f1=0.661
duration=2.0, step=2.0,  MELS=64, FFT=2048, HOP=512, aug={'noise': (0.005, 0.02), 'pitch': (-3, 3), 'stretch': (0.85, 1.15)}, batch=8 --> acc=0.648, prec=0.604, rec=0.823, f1=0.697
duration=2.0, step=2.0,  MELS=64, FFT=2048, HOP=512, aug={'noise': (0.005, 0.02), 'pitch': (-3, 3), 'stretch': (0.85, 1.15)}, batch=16 --> acc=0.552, prec=0.528, rec=0.823, f1=0.644
duration=2.0, step=2.0,  MELS=64, FFT=2048, HOP=512, aug={'noise': (0.005, 0.02), 'pitch': (-3, 3), 'stretch': (0.85, 1.15)}, batch=32 --> acc=0.548, prec=0.524, rec=0.867, f1=0.653
duration=2.0, step=2.0,  MELS=64, FFT=2048, HOP=512, aug=None, batch=8 --> acc=0.757, prec=0.771, rec=0.717, f1=0.743
duration=2.0, step=2.0,  MELS=64, FFT=2048, HOP=512, aug=None, batch=16 --> acc=0.491, prec=0.491, rec=1.000, f1=0.659
duration=2.0, step=2.0,  MELS=64, FFT=2048, HOP=512, aug=None, batch=32 --> acc=0.717, prec=0.722, rec=0.690, f1=0.706
duration=2.0, step=2.0,  MELS=128, FFT=2048, HOP=512, aug={'noise': (0.001, 0.01), 'pitch': (-1, 1), 'stretch': (0.95, 1.05)}, batch=8 --> acc=0.739, prec=0.719, rec=0.770, f1=0.744
duration=2.0, step=2.0,  MELS=128, FFT=2048, HOP=512, aug={'noise': (0.001, 0.01), 'pitch': (-1, 1), 'stretch': (0.95, 1.05)}, batch=16 --> acc=0.504, prec=0.498, rec=0.982, f1=0.661
duration=2.0, step=2.0,  MELS=128, FFT=2048, HOP=512, aug={'noise': (0.001, 0.01), 'pitch': (-1, 1), 'stretch': (0.95, 1.05)}, batch=32 --> acc=0.561, prec=0.532, rec=0.876, f1=0.662
duration=2.0, step=2.0,  MELS=128, FFT=2048, HOP=512, aug={'noise': (0.001, 0.015), 'pitch': (-2, 2), 'stretch': (0.9, 1.1)}, batch=8 --> acc=0.726, prec=0.676, rec=0.850, f1=0.753
duration=2.0, step=2.0,  MELS=128, FFT=2048, HOP=512, aug={'noise': (0.001, 0.015), 'pitch': (-2, 2), 'stretch': (0.9, 1.1)}, batch=16 --> acc=0.496, prec=0.493, rec=1.000, f1=0.661
duration=2.0, step=2.0,  MELS=128, FFT=2048, HOP=512, aug={'noise': (0.001, 0.015), 'pitch': (-2, 2), 'stretch': (0.9, 1.1)}, batch=32 --> acc=0.570, prec=0.552, rec=0.655, f1=0.599
duration=2.0, step=2.0,  MELS=128, FFT=2048, HOP=512, aug={'noise': (0.005, 0.02), 'pitch': (-3, 3), 'stretch': (0.85, 1.15)}, batch=8 --> acc=0.661, prec=0.609, rec=0.867, f1=0.715
duration=2.0, step=2.0,  MELS=128, FFT=2048, HOP=512, aug={'noise': (0.005, 0.02), 'pitch': (-3, 3), 'stretch': (0.85, 1.15)}, batch=16 --> acc=0.491, prec=0.491, rec=1.000, f1=0.659
